Hall slack analysis: n in [100, 100000], step=100, alpha=0.85
      n    surv   band_q      iso   non_iso   s_viol   p_viol   tight_slack
  86000    9736     6538     7545      2191        0        0           n/a
  86100    9795     6543     7622      2173        0        0           n/a
  86200    9732     6551     7576      2156        0        0           n/a
  86300    9828     6561     7592      2236        0        0           n/a
  86400    9801     6572     7629      2172        0        0           n/a
  86500    9835     6580     7639      2196        0        0           n/a
  86600    9814     6587     7606      2208        0        0           n/a
  86700    9795     6589     7596      2199        0        0           n/a
  86800    9834     6596     7642      2192        0        0           n/a
  86900    9814     6601     7611      2203        0        0           n/a
  87000    9857     6607     7685      2172        0        0           n/a
  87100    9933     6612     7718      2215        0        0           n/a
  87200    9972     6620     7807      2165        0        0           n/a
  87300   10002     6630     7723      2279        0        0           n/a
  87400    9810     6635     7563      2247        0        0           n/a
  87500    9889     6644     7656      2233        0        0           n/a
  87600    9760     6653     7484      2276        0        0           n/a
  87700    9930     6664     7683      2247        0        0           n/a
  87800   10000     6670     7748      2252        0        0           n/a
  87900    9929     6677     7700      2229        0        0           n/a
  88000    9956     6685     7679      2277        0        0           n/a
  88100    9969     6692     7766      2203        0        0           n/a
  88200    9997     6694     7689      2308        0        0           n/a
  88300   10025     6700     7794      2231        0        0           n/a
  88400   10030     6705     7764      2266        0        0           n/a
  88500   10024     6713     7818      2206        0        0           n/a
  88600   10048     6717     7752      2296        0        0           n/a
  88700   10132     6725     7877      2255        0        0           n/a
  88800   10057     6728     7766      2291        0        0           n/a
  88900   10166     6740     7915      2251        0        0           n/a
  89000   10109     6744     7806      2303        0        0           n/a
  89100   10142     6754     7915      2227        0        0           n/a
  89200   10128     6761     7857      2271        0        0           n/a
  89300   10127     6769     7908      2219        0        0           n/a
  89400   10069     6778     7722      2347        0        0           n/a
  89500   10067     6786     7749      2318        0        0           n/a
  89600   10137     6794     7861      2276        0        0           n/a
  89700   10073     6805     7770      2303        0        0           n/a
  89800   10191     6809     7870      2321        0        0           n/a
  89900   10132     6817     7804      2328        0        0           n/a
  90000   10243     6824     7938      2305        0        0           n/a
  90100   10275     6835     7924      2351        0        0           n/a
  90200   10243     6845     7900      2343        0        0           n/a
  90300   10236     6853     7881      2355        0        0           n/a
  90400   10241     6859     7949      2292        0        0           n/a
  90500   10247     6867     7916      2331        0        0           n/a
  90600   10343     6873     8019      2324        0        0           n/a
  90700   10278     6880     7894      2384        0        0           n/a
  90800   10366     6884     8060      2306        0        0           n/a
  90900   10313     6892     7938      2375        0        0           n/a
  91000   10255     6901     7901      2354        0        0           n/a
  91100   10200     6905     7856      2344        0        0           n/a
  91200   10229     6916     7839      2390        0        0           n/a
  91300   10365     6921     8040      2325        0        0           n/a
  91400   10328     6931     7996      2332        0        0           n/a
  91500   10429     6937     8108      2321        0        0           n/a
  91600   10416     6944     7974      2442        0        0           n/a
  91700   10389     6948     8038      2351        0        0           n/a
  91800   10408     6954     8029      2379        0        0           n/a
  91900   10357     6962     7929      2428        0        0           n/a
  92000   10431     6970     8002      2429        0        0           n/a
  92100   10433     6975     8014      2419        0        0           n/a
  92200   10581     6984     8156      2425        0        0           n/a
  92300   10477     6992     8106      2371        0        0           n/a
  92400   10467     7004     8032      2435        0        0           n/a
  92500   10448     7011     8103      2345        0        0           n/a
  92600   10462     7016     8065      2397        0        0           n/a
  92700   10488     7026     8101      2387        0        0           n/a
  92800   10636     7036     8211      2425        0        0           n/a
  92900   10517     7043     8169      2348        0        0           n/a
  93000   10618     7051     8112      2506        0        0           n/a
  93100   10617     7058     8197      2420        0        0           n/a
  93200   10518     7066     8110      2408        0        0           n/a
  93300   10658     7074     8218      2440        0        0           n/a
  93400   10592     7082     8225      2367        0        0           n/a
  93500   10534     7091     8133      2401        0        0           n/a
  93600   10629     7099     8172      2457        0        0           n/a
  93700   10721     7102     8285      2436        0        0           n/a
  93800   10700     7107     8193      2507        0        0           n/a
  93900   10680     7114     8289      2391        0        0           n/a
  94000   10623     7125     8214      2409        0        0           n/a
  94100   10648     7131     8139      2509        0        0           n/a
  94200   10616     7136     8220      2396        0        0           n/a
  94300   10720     7143     8304      2416        0        0           n/a
  94400   10714     7151     8186      2528        0        0           n/a
  94500   10714     7158     8282      2432        0        0           n/a
  94600   10712     7168     8269      2443        0        0           n/a
  94700   10600     7175     8091      2509        0        0           n/a
  94800   10693     7180     8211      2482        0        0           n/a
  94900   10728     7189     8252      2476        0        0           n/a
  95000   10823     7195     8357      2466        0        0           n/a
  95100   10801     7202     8268      2533        0        0           n/a
  95200   10643     7208     8156      2487        0        0           n/a
  95300   10833     7220     8385      2448        0        0           n/a
  95400   10819     7226     8288      2531        0        0           n/a
  95500   10875     7235     8425      2450        0        0           n/a
  95600   10885     7243     8455      2430        0        0           n/a
  95700   10829     7247     8293      2536        0        0           n/a
  95800   10852     7258     8398      2454        0        0           n/a
  95900   10781     7266     8254      2527        0        0           n/a
  96000   10810     7275     8333      2477        0        0           n/a
  96100   10838     7280     8302      2536        0        0           n/a
  96200   10957     7286     8440      2517        0        0           n/a
  96300   10914     7294     8395      2519        0        0           n/a
  96400   10889     7299     8384      2505        0        0           n/a
  96500   10868     7310     8323      2545        0        0           n/a
  96600   10923     7316     8411      2512        0        0           n/a
  96700   10999     7322     8486      2513        0        0           n/a
  96800   11050     7332     8522      2528        0        0           n/a
  96900   10961     7338     8418      2543        0        0           n/a
  97000   10995     7344     8465      2530        0        0           n/a
  97100   10991     7349     8452      2539        0        0           n/a
  97200   11056     7358     8472      2584        0        0           n/a
  97300   11043     7362     8542      2501        0        0           n/a
  97400   10984     7368     8442      2542        0        0           n/a
  97500   11016     7373     8458      2558        0        0           n/a
  97600   11056     7382     8474      2582        0        0           n/a
  97700   11121     7388     8487      2634        0        0           n/a
  97800   11080     7392     8488      2592        0        0           n/a
  97900   11075     7403     8522      2553        0        0           n/a
  98000   10976     7408     8498      2478        0        0           n/a
  98100   11085     7412     8604      2481        0        0           n/a
  98200   11131     7415     8574      2557        0        0           n/a
  98300   11109     7423     8447      2662        0        0           n/a
  98400   11167     7431     8558      2609        0        0           n/a
  98500   11092     7441     8515      2577        0        0           n/a
  98600   11179     7448     8605      2574        0        0           n/a
  98700   11128     7452     8562      2566        0        0           n/a
  98800   11223     7458     8590      2633        0        0           n/a
  98900   11168     7469     8545      2623        0        0           n/a
  99000   11072     7478     8491      2581        0        0           n/a
  99100   11225     7486     8602      2623        0        0           n/a
  99200   11203     7495     8620      2583        0        0           n/a
  99300   11180     7502     8525      2655        0        0           n/a
  99400   11138     7508     8563      2575        0        0           n/a
  99500   11263     7514     8613      2650        0        0           n/a
  99600   11257     7522     8645      2612        0        0           n/a
  99700   11295     7528     8654      2641        0        0           n/a
  99800   11365     7536     8782      2583        0        0           n/a
  99900   11281     7545     8721      2560        0        0           n/a
  100000   11297     7553     8688      2609        0        0           n/a

==================================================
SUMMARY (n in [100,100000], alpha=0.85)
==================================================
Total single-vertex violations : 0
Total pair violations          : 0
Minimum tightest pair slack    : 1

CONCLUSION: Zero Hall violations at single and pair level.
Minimum pair slack = 1 > 0 throughout.
